country_iso,country_name,years_dropped
AND,Andorra,14
ASM,American Samoa,14
ATG,Antigua and Barbuda,1
BDI,Burundi,2
BHR,Bahrain,14
BHS,"Bahamas, The",1
BMU,Bermuda,14
BRN,Brunei Darussalam,14
BTN,Bhutan,11
CUB,Cuba,14
ERI,Eritrea,14
FSM,"Micronesia, Fed. Sts.",12
GNQ,Equatorial Guinea,14
GRD,Grenada,1
GRL,Greenland,14
JPN,Japan,1
KNA,St. Kitts and Nevis,14
LAO,Lao PDR,1
LCA,St. Lucia,1
LSO,Lesotho,1
MDV,Maldives,9
MHL,Marshall Islands,14
NIC,Nicaragua,1
NRU,Nauru,14
PLW,Palau,14
PRI,Puerto Rico (US),14
PRK,"Korea, Dem. People's Rep.",6
PSE,West Bank and Gaza,14
QAT,Qatar,11
SDN,Sudan,3
SGP,Singapore,14
SSD,South Sudan,11
SYR,Syrian Arab Republic,1
TON,Tonga,13
TUV,Tuvalu,14
YEM,"Yemen, Rep.",9
